년월,지점,평균기온(℃),평균최저기온(℃),평균최고기온(℃)
1981-06-01,108,21.8,17.5,26.8
1982-06-01,108,21.9,17.4,27.3
1983-06-01,108,22.2,17.4,27.9
1984-06-01,108,22.6,18.4,27.7
1985-06-01,108,22.1,18,27.3
1986-06-01,108,21.9,18.2,26.3
1987-06-01,108,22.4,17.8,27.1
1988-06-01,108,22.3,18.2,27.3
1989-06-01,108,21.2,16.9,26.2
1990-06-01,108,20.7,17.4,24.6
1991-06-01,108,22.6,18.3,27.6
1992-06-01,108,20.9,16.4,26
1993-06-01,108,21.3,17.8,25.8
1994-06-01,108,22.8,18.1,28.2
1995-06-01,108,21.6,17.5,26.3
1996-06-01,108,22.3,19.1,26.5
1997-06-01,108,23.4,18.9,28.5
1998-06-01,108,21.9,18,26.4
1999-06-01,108,23.1,18.5,28.3
2000-06-01,108,23.7,19.1,29.2
2001-06-01,108,22.5,19.2,27.1
2002-06-01,108,22.2,17.9,27.3
2003-06-01,108,21.5,18,25.8
2004-06-01,108,23.2,19.3,27.7
2005-06-01,108,22.7,19.1,27.3
2006-06-01,108,21.8,18.1,26.3
2007-06-01,108,23.2,19.2,27.7
2008-06-01,108,21.5,17.6,26.1
2009-06-01,108,22.4,18.8,26.7
2010-06-01,108,23.4,19.3,28.2
,,,,
